汉字、所有汉字、汉字大全、全部汉字 一共(71724)个
编码	0	1	2	3	4	5	6	7	8	9	A	B	C	D	E	F
26F5	𦽐	𦽑	𦽒	𦽓	𦽔	𦽕	𦽖	𦽗	𦽘	𦽙	𦽚	𦽛	𦽜	𦽝	𦽞	𦽟
26F6	𦽠	𦽡	𦽢	𦽣	𦽤	𦽥	𦽦	𦽧	𦽨	𦽩	𦽪	𦽫	𦽬	𦽭	𦽮	𦽯
26F7	𦽰	𦽱	𦽲	𦽳	𦽴	𦽵	𦽶	𦽷	𦽸	𦽹	𦽺	𦽻	𦽼	𦽽	𦽾	𦽿
26F8	𦾀	𦾁	𦾂	𦾃	𦾄	𦾅	𦾆	𦾇	𦾈	𦾉	𦾊	𦾋	𦾌	𦾍	𦾎	𦾏
26F9	𦾐	𦾑	𦾒	𦾓	𦾔	𦾕	𦾖	𦾗	𦾘	𦾙	𦾚	𦾛	𦾜	𦾝	𦾞	𦾟
26FA	𦾠	𦾡	𦾢	𦾣	𦾤	𦾥	𦾦	𦾧	𦾨	𦾩	𦾪	𦾫	𦾬	𦾭	𦾮	𦾯
26FB	𦾰	𦾱	𦾲	𦾳	𦾴	𦾵	𦾶	𦾷	𦾸	𦾹	𦾺	𦾻	𦾼	𦾽	𦾾	𦾿
26FC	𦿀	𦿁	𦿂	𦿃	𦿄	𦿅	𦿆	𦿇	𦿈	𦿉	𦿊	𦿋	𦿌	𦿍	𦿎	𦿏
26FD	𦿐	𦿑	𦿒	𦿓	𦿔	𦿕	𦿖	𦿗	𦿘	𦿙	𦿚	𦿛	𦿜	𦿝	𦿞	𦿟
26FE	𦿠	𦿡	𦿢	𦿣	𦿤	𦿥	𦿦	𦿧	𦿨	𦿩	𦿪	𦿫	𦿬	𦿭	𦿮	𦿯
26FF	𦿰	𦿱	𦿲	𦿳	𦿴	𦿵	𦿶	𦿷	𦿸	𦿹	𦿺	𦿻	𦿼	𦿽	𦿾	𦿿
2700	𧀀	𧀁	𧀂	𧀃	𧀄	𧀅	𧀆	𧀇	𧀈	𧀉	𧀊	𧀋	𧀌	𧀍	𧀎	𧀏
2701	𧀐	𧀑	𧀒	𧀓	𧀔	𧀕	𧀖	𧀗	𧀘	𧀙	𧀚	𧀛	𧀜	𧀝	𧀞	𧀟
2702	𧀠	𧀡	𧀢	𧀣	𧀤	𧀥	𧀦	𧀧	𧀨	𧀩	𧀪	𧀫	𧀬	𧀭	𧀮	𧀯
2703	𧀰	𧀱	𧀲	𧀳	𧀴	𧀵	𧀶	𧀷	𧀸	𧀹	𧀺	𧀻	𧀼	𧀽	𧀾	𧀿
2704	𧁀	𧁁	𧁂	𧁃	𧁄	𧁅	𧁆	𧁇	𧁈	𧁉	𧁊	𧁋	𧁌	𧁍	𧁎	𧁏
2705	𧁐	𧁑	𧁒	𧁓	𧁔	𧁕	𧁖	𧁗	𧁘	𧁙	𧁚	𧁛	𧁜	𧁝	𧁞	𧁟
2706	𧁠	𧁡	𧁢	𧁣	𧁤	𧁥	𧁦	𧁧	𧁨	𧁩	𧁪	𧁫	𧁬	𧁭	𧁮	𧁯
2707	𧁰	𧁱	𧁲	𧁳	𧁴	𧁵	𧁶	𧁷	𧁸	𧁹	𧁺	𧁻	𧁼	𧁽	𧁾	𧁿
2708	𧂀	𧂁	𧂂	𧂃	𧂄	𧂅	𧂆	𧂇	𧂈	𧂉	𧂊	𧂋	𧂌	𧂍	𧂎	𧂏
2709	𧂐	𧂑	𧂒	𧂓	𧂔	𧂕	𧂖	𧂗	𧂘	𧂙	𧂚	𧂛	𧂜	𧂝	𧂞	𧂟
270A	𧂠	𧂡	𧂢	𧂣	𧂤	𧂥	𧂦	𧂧	𧂨	𧂩	𧂪	𧂫	𧂬	𧂭	𧂮	𧂯
270B	𧂰	𧂱	𧂲	𧂳	𧂴	𧂵	𧂶	𧂷	𧂸	𧂹	𧂺	𧂻	𧂼	𧂽	𧂾	𧂿
270C	𧃀	𧃁	𧃂	𧃃	𧃄	𧃅	𧃆	𧃇	𧃈	𧃉	𧃊	𧃋	𧃌	𧃍	𧃎	𧃏
270D	𧃐	𧃑	𧃒	𧃓	𧃔	𧃕	𧃖	𧃗	𧃘	𧃙	𧃚	𧃛	𧃜	𧃝	𧃞	𧃟
270E	𧃠	𧃡	𧃢	𧃣	𧃤	𧃥	𧃦	𧃧	𧃨	𧃩	𧃪	𧃫	𧃬	𧃭	𧃮	𧃯
270F	𧃰	𧃱	𧃲	𧃳	𧃴	𧃵	𧃶	𧃷	𧃸	𧃹	𧃺	𧃻	𧃼	𧃽	𧃾	𧃿
